[2025-01-08 21:16:53][INFO] Loading resources...
[2025-01-08 21:16:53][FINE] Loading resources from: bluemap/resourceExtensions.zip ...
[2025-01-08 21:16:54][FINE] Loading resources from: bluemap/minecraft-client-1.21.4.jar ...
[2025-01-08 21:16:55][INFO] Loading textures...
[2025-01-08 21:16:55][FINE] Loading textures from: bluemap/resourceExtensions.zip ...
[2025-01-08 21:16:55][FINE] Loading textures from: bluemap/minecraft-client-1.21.4.jar ...
[2025-01-08 21:16:57][INFO] Baking resources...
[2025-01-08 21:16:57][INFO] Resources loaded.
[2025-01-08 21:16:57][FINE] Loading world world#minecraft:overworld ...
[2025-01-08 21:16:57][FINE] Loading datapack...
[2025-01-08 21:16:57][FINE] Loading datapack from: world/datapacks/bukkit ...
[2025-01-08 21:16:57][FINE] Loading datapack from: world/datapacks/ToggleSpectator.zip ...
[2025-01-08 21:16:57][FINE] Loading datapack from: world/datapacks/better-armorstands-dp.zip ...
[2025-01-08 21:16:57][FINE] Loading datapack from: bluemap/resourceExtensions.zip ...
[2025-01-08 21:16:57][FINE] Loading datapack from: bluemap/minecraft-client-1.21.4.jar ...
[2025-01-08 21:16:57][FINE] Baking datapack...
[2025-01-08 21:16:57][FINE] Datapack loaded.
[2025-01-08 21:16:57][INFO] Initializing Storage: 'file' (Type: 'bluemap:file')
[2025-01-08 21:16:57][INFO] Loading map 'world'...
[2025-01-08 21:16:57][FINE] Loading render-state for map 'world'
[2025-01-08 21:16:57][FINE] Loading textures for map 'world'
[2025-01-08 21:16:57][FINE] Loading world world_the_end#minecraft:the_end ...
[2025-01-08 21:16:57][FINE] Loading datapack...
[2025-01-08 21:16:57][FINE] Loading datapack from: bluemap/resourceExtensions.zip ...
[2025-01-08 21:16:57][FINE] Loading datapack from: bluemap/minecraft-client-1.21.4.jar ...
[2025-01-08 21:16:57][FINE] Baking datapack...
[2025-01-08 21:16:57][FINE] Datapack loaded.
[2025-01-08 21:16:57][INFO] Loading map 'world_the_end'...
[2025-01-08 21:16:57][FINE] Loading render-state for map 'world_the_end'
[2025-01-08 21:16:57][FINE] Loading textures for map 'world_the_end'
[2025-01-08 21:16:58][FINE] Loading world world_nether#minecraft:the_nether ...
[2025-01-08 21:16:58][FINE] Loading datapack...
[2025-01-08 21:16:58][FINE] Loading datapack from: bluemap/resourceExtensions.zip ...
[2025-01-08 21:16:58][FINE] Loading datapack from: bluemap/minecraft-client-1.21.4.jar ...
[2025-01-08 21:16:58][FINE] Baking datapack...
[2025-01-08 21:16:58][FINE] Datapack loaded.
[2025-01-08 21:16:58][INFO] Loading map 'world_nether'...
[2025-01-08 21:16:58][FINE] Loading render-state for map 'world_nether'
[2025-01-08 21:16:58][FINE] Loading textures for map 'world_nether'
[2025-01-08 21:16:58][INFO] WebServer bound to all network interfaces on port 3000
[2025-01-08 21:16:58][INFO] WebServer started.
[2025-01-08 21:16:58][FINE] Started watching map 'world' for updates...
[2025-01-08 21:16:58][FINE] Started watching map 'world_the_end' for updates...
[2025-01-08 21:16:58][FINE] Started watching map 'world_nether' for updates...
[2025-01-08 21:16:58][INFO] Loaded!
[2025-01-08 21:21:57][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:21:58][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2025-01-08 21:22:17][FINE] Scheduled update for region-file: (-2, 0) (Map: world)
[2025-01-08 21:22:17][FINE] Scheduled update for region-file: (-2, -1) (Map: world)
[2025-01-08 21:22:21][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2025-01-08 21:22:24][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:22:44][FINE] Scheduled update for region-file: (-2, -1) (Map: world)
[2025-01-08 21:23:03][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2025-01-08 21:23:03][FINE] Scheduled update for region-file: (-2, 0) (Map: world)
[2025-01-08 21:23:10][FINE] Scheduled update for region-file: (-2, 0) (Map: world)
[2025-01-08 21:23:11][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:23:20][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2025-01-08 21:23:28][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:23:33][FINE] Scheduled update for region-file: (-2, -1) (Map: world)
[2025-01-08 21:23:46][FINE] Scheduled update for region-file: (-2, -1) (Map: world)
[2025-01-08 21:23:46][FINE] Scheduled update for region-file: (-2, 0) (Map: world)
[2025-01-08 21:24:02][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:24:50][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:25:06][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2025-01-08 21:25:21][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:25:36][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:26:42][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:26:57][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2025-01-08 21:27:01][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2025-01-08 21:27:19][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2025-01-08 21:29:52][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2025-01-08 21:30:45][FINE] Scheduled update for region-file: (0, 0) (Map: world_nether)
[2025-01-08 21:30:46][FINE] Scheduled update for region-file: (-1, 0) (Map: world_nether)
[2025-01-08 21:30:46][FINE] Scheduled update for region-file: (-1, -1) (Map: world_nether)
[2025-01-08 21:30:57][FINE] Scheduled update for region-file: (-2, 2) (Map: world)
[2025-01-08 21:30:58][FINE] Scheduled update for region-file: (-2, 3) (Map: world)
[2025-01-08 21:30:58][FINE] Scheduled update for region-file: (-1, 2) (Map: world)
[2025-01-08 21:30:58][FINE] Scheduled update for region-file: (-1, 3) (Map: world)
[2025-01-08 21:31:33][FINE] Scheduled update for region-file: (0, -1) (Map: world_the_end)
[2025-01-08 21:31:57][FINE] Scheduled update for region-file: (0, -1) (Map: world_nether)
[2025-01-08 21:31:57][FINE] Scheduled update for region-file: (-1, -1) (Map: world_nether)
[2025-01-08 21:31:57][FINE] Scheduled update for region-file: (-1, 0) (Map: world_nether)
[2025-01-08 21:31:57][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
